Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
04/25/2014 12:00:00 AM,1,6
04/25/2014 01:00:00 AM,3,3
04/25/2014 02:00:00 AM,1,2
04/25/2014 03:00:00 AM,1,0
04/25/2014 04:00:00 AM,1,38
04/25/2014 05:00:00 AM,15,39
04/25/2014 06:00:00 AM,64,15
04/25/2014 07:00:00 AM,162,20
04/25/2014 08:00:00 AM,294,61
04/25/2014 09:00:00 AM,167,101
04/25/2014 10:00:00 AM,84,53
04/25/2014 11:00:00 AM,70,27
04/25/2014 12:00:00 PM,65,62
04/25/2014 01:00:00 PM,52,61
04/25/2014 02:00:00 PM,60,56
04/25/2014 03:00:00 PM,71,84
04/25/2014 04:00:00 PM,113,150
04/25/2014 05:00:00 PM,163,297
04/25/2014 06:00:00 PM,135,228
04/25/2014 07:00:00 PM,67,92
04/25/2014 08:00:00 PM,39,47
04/25/2014 09:00:00 PM,26,30
04/25/2014 10:00:00 PM,13,17
04/25/2014 11:00:00 PM,21,17
04/26/2014 12:00:00 AM,7,10
04/26/2014 01:00:00 AM,4,6
04/26/2014 02:00:00 AM,4,4
04/26/2014 03:00:00 AM,1,2
04/26/2014 04:00:00 AM,2,2
04/26/2014 05:00:00 AM,3,47
04/26/2014 06:00:00 AM,10,47
04/26/2014 07:00:00 AM,21,53
04/26/2014 08:00:00 AM,42,67
04/26/2014 09:00:00 AM,72,45
04/26/2014 10:00:00 AM,95,74
04/26/2014 11:00:00 AM,87,68
04/26/2014 12:00:00 PM,119,88
04/26/2014 01:00:00 PM,79,67
04/26/2014 02:00:00 PM,82,67
04/26/2014 03:00:00 PM,84,88
04/26/2014 04:00:00 PM,104,89
04/26/2014 05:00:00 PM,88,68
04/26/2014 06:00:00 PM,66,52
04/26/2014 07:00:00 PM,29,22
04/26/2014 08:00:00 PM,21,13
04/26/2014 09:00:00 PM,13,10
04/26/2014 10:00:00 PM,7,11
04/26/2014 11:00:00 PM,8,1
04/27/2014 12:00:00 AM,4,7
04/27/2014 01:00:00 AM,4,5
04/27/2014 02:00:00 AM,1,1
04/27/2014 03:00:00 AM,0,0
04/27/2014 04:00:00 AM,0,58
04/27/2014 05:00:00 AM,3,34
04/27/2014 06:00:00 AM,7,27
04/27/2014 07:00:00 AM,2,61
04/27/2014 08:00:00 AM,25,37
04/27/2014 09:00:00 AM,49,32
04/27/2014 10:00:00 AM,42,35
04/27/2014 11:00:00 AM,46,39
04/27/2014 12:00:00 PM,51,49
04/27/2014 01:00:00 PM,57,47
04/27/2014 02:00:00 PM,69,50
04/27/2014 03:00:00 PM,58,60
04/27/2014 04:00:00 PM,81,49
04/27/2014 05:00:00 PM,63,49
04/27/2014 06:00:00 PM,47,31
04/27/2014 07:00:00 PM,24,16
04/27/2014 08:00:00 PM,17,17
04/27/2014 09:00:00 PM,11,10
04/27/2014 10:00:00 PM,8,12
04/27/2014 11:00:00 PM,7,0
04/28/2014 12:00:00 AM,1,5
04/28/2014 01:00:00 AM,2,1
04/28/2014 02:00:00 AM,0,0
04/28/2014 03:00:00 AM,2,0
04/28/2014 04:00:00 AM,3,70
04/28/2014 05:00:00 AM,19,35
04/28/2014 06:00:00 AM,71,23
04/28/2014 07:00:00 AM,255,16
04/28/2014 08:00:00 AM,356,47
04/28/2014 09:00:00 AM,191,103
04/28/2014 10:00:00 AM,58,39
04/28/2014 11:00:00 AM,57,29
04/28/2014 12:00:00 PM,38,38
04/28/2014 01:00:00 PM,49,47
04/28/2014 02:00:00 PM,52,66
04/28/2014 03:00:00 PM,77,86
04/28/2014 04:00:00 PM,107,161
04/28/2014 05:00:00 PM,168,413
04/28/2014 06:00:00 PM,205,339
04/28/2014 07:00:00 PM,119,162
04/28/2014 08:00:00 PM,59,70
04/28/2014 09:00:00 PM,23,30
04/28/2014 10:00:00 PM,26,19
04/28/2014 11:00:00 PM,12,9
04/29/2014 12:00:00 AM,3,13
04/29/2014 01:00:00 AM,1,2
04/29/2014 02:00:00 AM,3,1
04/29/2014 03:00:00 AM,0,0
04/29/2014 04:00:00 AM,4,2
04/29/2014 05:00:00 AM,28,14
04/29/2014 06:00:00 AM,103,38
04/29/2014 07:00:00 AM,296,113
04/29/2014 08:00:00 AM,421,174
04/29/2014 09:00:00 AM,222,123
04/29/2014 10:00:00 AM,89,61
04/29/2014 11:00:00 AM,58,51
04/29/2014 12:00:00 PM,66,51
04/29/2014 01:00:00 PM,81,43
04/29/2014 02:00:00 PM,81,73
04/29/2014 03:00:00 PM,85,95
04/29/2014 04:00:00 PM,123,203
04/29/2014 05:00:00 PM,207,496
04/29/2014 06:00:00 PM,261,408
