year,day,hour,day_of_week,location,num_bikes
2014,9,20,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,23
2014,9,21,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,10
2014,9,22,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,12
2014,9,23,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,13
2014,10,0,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,10,1,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,10,2,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,10,3,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,10,4,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,1
2014,10,5,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,1
2014,10,6,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,11
2014,10,7,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,37
2014,10,8,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,41
2014,10,9,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,23
2014,10,10,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,22
2014,10,11,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,12
2014,10,12,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,34
2014,10,13,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,37
2014,10,14,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,58
2014,10,15,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,68
2014,10,16,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,82
2014,10,17,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,105
2014,10,18,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,61
2014,10,19,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,22
2014,10,20,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,23
2014,10,21,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,22
2014,10,22,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,12
2014,10,23,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,5
2014,11,0,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,3
2014,11,1,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,4
2014,11,2,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,11,3,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,11,4,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,11,5,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,1
2014,11,6,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,10
2014,11,7,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,16
2014,11,8,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,23
2014,11,9,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,19
2014,11,10,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,17
2014,11,11,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,12
2014,11,12,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,30
2014,11,13,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,31
2014,11,14,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,50
2014,11,15,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,50
2014,11,16,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,61
2014,11,17,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,57
